id,area,behavior,release_gate,legacy_evidence,qt_acceptance,status,notes
CFG-001,Configuration,Read StripConfig 1.2 files,Preview,StripConfig.c:StripConfig_load,All canonical fixtures load to expected values,Not started,
CFG-002,Configuration,Read pre-header legacy files,Replacement,StripConfig.c:read_oldformat,legacy-format.stp loads channels timing and limits,Not started,Writer need not emit old format
CFG-003,Configuration,Write Motif-readable StripConfig 1.2 files,Replacement,StripConfig.c:StripConfig_write,Motif loads Qt output and values match,Not started,
CFG-004,Configuration,Ignore unknown namespaces and attributes,Replacement,StripConfig.c:StripConfig_load,unknown-fields.stp loads known fields without failure,Not started,Warn for diagnosability
CFG-005,Configuration,Derive NumSamples when omitted,Replacement,StripConfig.c:StripConfig_load,Derived value equals ceil Timespan divided by SampleInterval,Not started,
CFG-006,Configuration,Reject newer unsupported format versions safely,Replacement,StripConfig.c:StripConfig_load,Clear error and no partial model mutation,Not started,
CFG-007,Configuration,Select partial save and load groups,Replacement,StripDialog.c:FsDlgTglVal,Timing colors graph and curves can be selected independently,Not started,
CFG-008,Configuration,Enforce ten valid curve indices,Replacement,StripDefines.h:STRIP_MAX_CURVES,Indices 0-9 work and 10 is rejected safely,Not started,Intentional correction of legacy out-of-bounds defect
CFG-009,Configuration,Enforce name units comment and precision limits,Replacement,StripDefines.h and StripConfig.c,Boundary and overflow fixtures are handled safely,Not started,Negative tests required
START-001,Startup,Load explicit path from first positional argument,Preview,StripTool.c:StripTool_main,Explicit readable file loads,Not started,
START-002,Startup,Search current directory before STRIP_FILE_SEARCH_PATH,Replacement,StripTool.c:StripTool_open_file,Deterministic precedence test passes,Not started,
START-003,Startup,Load local StripTool.stp when no explicit file succeeds,Replacement,StripTool.c:StripTool_main,Fallback test passes,Not started,
START-004,Startup,Continue with compiled defaults when no file exists,Preview,StripTool.c:StripTool_main,Application opens with documented defaults,Not started,
START-005,Startup,Use loaded basename as displayed title,Replacement,Strip.c:Strip_readconfig,Window title matches loaded basename,Not started,
ENV-001,Environment,Honor STRIP_HELP_PATH,Replacement,Strip.c:Strip_init,Help action opens override URL,Not started,
ENV-002,Environment,Replace relevant site and user X resources,Site decision,Strip.c:Strip_init,Mapping or intentional difference is documented,Decision needed,Qt will not parse arbitrary X resources
ENV-003,Environment,Honor STRIP_DUMP_TYPE_DEFAULT equivalent,Replacement,Strip.c:file_selection_dialog,Dump dialog starts with requested type,Not started,
ENV-004,Environment,Support EPICS_DISPLAY_PATH alias,Site decision,StripDefines.h:USE_OLD_FILE_SEARCH,Decision recorded and tested if retained,Decision needed,
MODEL-001,Model,Support ten curves,Preview,StripDefines.h:STRIP_MAX_CURVES,Ten independently configured curves persist and render,Not started,
MODEL-002,Model,Preserve graph and curve defaults,Preview,StripDefines.h and StripConfig_init,Default-model test matches baseline table,Not started,
MODEL-003,Model,Use toolkit-neutral colors and geometry,Preview,StripConfig.h,Core model compiles without QtGui X11 or Motif types,Not started,
CA-001,Acquisition,Connect and disconnect Channel Access PVs,Preview,StripCA.c,IOC integration test observes transitions,Not started,
CA-002,Acquisition,Receive value units precision and display limits,Replacement,StripCA.c:info_callback,Metadata integration test passes,Not started,
CA-003,Acquisition,Request description into curve comment,Replacement,StripCA.c:requestDescRecord,Description integration test passes,Not started,
CA-004,Acquisition,Represent disconnect and reconnect state,Replacement,StripCA.c:connect_callback,IOC restart test recovers without stale subscription,Implemented,
CA-005,Acquisition,Retry disconnected channels,Intentional omission,StripCA.c:StripDAQ_retry_connections,Channel Access persistent searches reconnect automatically,Omitted,
CA-006,Acquisition,Provide local CPU_Usage curve,Replacement,StripTool.c:request_connect,Local provider samples without CA channel,Not started,
CA-007,Acquisition,Support CDEV data source,Site decision,StripCDEV.cc and Makefile,Operational need and support decision recorded,Decision needed,
DATA-001,Data,Keep sample and refresh cadences independent,Preview,Strip.c and StripDataSource.c,Fake-clock tests demonstrate independent schedules,Not started,
DATA-002,Data,Store timestamp value and status in bounded ring buffers,Preview,StripDataSource.h,Wrap resize and memory-bound tests pass,Not started,
DATA-003,Data,Decimate samples for the visible range,Preview,StripDataSource.c:StripDataSource_render,Deterministic extrema-preserving render tests pass,Not started,
DATA-004,Data,Join live and historical ranges,Replacement,StripDataSource.c and StripHistory.h,Boundary and overlap tests pass,Not started,
PLOT-001,Plot,Render static linear curves,Preview,StripGraph.c,Golden image test passes,Not started,
PLOT-002,Plot,Render multiple colored curves and Y axes,Preview,StripGraph.c,Golden image and axis-label tests pass,Not started,
